"Date","From","Message tags","Notes","Request complete?","Short memo","rowId"
"{""value"":{""type"":""dt"",""epoch"":1713423600,""input"":""4/18/2024""}}","{""value"":""AK""}","{""value"":[{""name"":""Request"",""type"":""ref"",""rowId"":""i-i7-hXYO3pF"",""targetTableId"":""grid-t31WvC1S1m-select-list-c-qwTZUA8IkS""}]}","{""value"":{""type"":""canvas"",""content"":""[https://coda.io/d/_d0SvdI3KSto/_sugYI5Ax](https://coda.io/d/_d0SvdI3KSto/_sugYI5Ax)"",""canvasUri"":""canvases/grid-t31WvC1S1m::i-22NYrihoeM::c-mEoOyfTdag""}}","{""value"":true}","{""value"":""Request to make a Requests page""}","i-22NYrihoeM"
"{""value"":{""type"":""dt"",""epoch"":1713510000,""input"":""4/19/2024""}}","{""value"":""DAF""}","{""value"":""""}","{""value"":{""type"":""canvas"",""canvasUri"":""canvases/grid-t31WvC1S1m::i-Pxm0ZF7oOL::c-mEoOyfTdag""}}","{""value"":false}","{""value"":""Hello from Daniel""}","i-Pxm0ZF7oOL"
"{""value"":{""type"":""dt"",""epoch"":1713510000,""input"":""4/19/2024""}}","{""value"":""AK""}","{""value"":[{""name"":""Request"",""type"":""ref"",""rowId"":""i-i7-hXYO3pF"",""targetTableId"":""grid-t31WvC1S1m-select-list-c-qwTZUA8IkS""}]}","{""value"":{""type"":""canvas"",""content"":""I would link to that from the top of [http://www.math4wisdom.com](http://www.math4wisdom.com) and we could see what newsworthy pages to link directly to."",""canvasUri"":""canvases/grid-t31WvC1S1m::i-DijFjzV_RQ::c-mEoOyfTdag""}}","{""value"":true}","{""value"":""Could you set up a “Featured Pages” page where we could list pages that feature content of most timely interest? ""}","i-DijFjzV_RQ"
"{""value"":{""type"":""dt"",""epoch"":1713510000,""input"":""4/19/2024""}}","{""value"":""""}","{""value"":[{""name"":""Request"",""type"":""ref"",""rowId"":""i-i7-hXYO3pF"",""targetTableId"":""grid-t31WvC1S1m-select-list-c-qwTZUA8IkS""}]}","{""value"":{""type"":""canvas"",""canvasUri"":""canvases/grid-t31WvC1S1m::i-aItVrJ8WCQ::c-mEoOyfTdag""}}","{""value"":true}","{""value"":{""root"":{""children"":[{""id"":""cl-9I6Mknhvxg"",""type"":""Line"",""style"":""Paragraph"",""children"":[{""text"":""Develop the ""},{""id"":""esv-eIWgiZttzU"",""type"":""InlineStructuredValue"",""value"":{""type"":""objref"",""refType"":""canvas"",""objectId"":""canvas-p-8HV-LOe1""},""children"":[{""text"":""""}]},{""text"":"" landing page""}],""alignment"":""Left"",""lineLevel"":0}]},""type"":""slate""}}","i-aItVrJ8WCQ"
"{""value"":""""}","{""value"":""""}","{""value"":""""}","{""value"":{""type"":""canvas"",""canvasUri"":""canvases/grid-t31WvC1S1m::i-FlNwLaYqb_::c-mEoOyfTdag""}}","{""value"":false}","{""value"":""""}","i-FlNwLaYqb_"
"{""value"":""""}","{""value"":""""}","{""value"":""""}","{""value"":{""type"":""canvas"",""canvasUri"":""canvases/grid-t31WvC1S1m::i-DlniMlGL1E::c-mEoOyfTdag""}}","{""value"":false}","{""value"":""Hi... I’m just trying this out""}","i-DlniMlGL1E"
"{""value"":""""}","{""value"":""""}","{""value"":""""}","{""value"":{""type"":""canvas"",""canvasUri"":""canvases/grid-t31WvC1S1m::i-7ED-XI9RON::c-mEoOyfTdag""}}","{""value"":false}","{""value"":""""}","i-7ED-XI9RON"
"{""value"":""""}","{""value"":""""}","{""value"":""""}","{""value"":{""type"":""canvas"",""canvasUri"":""canvases/grid-t31WvC1S1m::i-DQ7TDdOO8H::c-mEoOyfTdag""}}","{""value"":false}","{""value"":""""}","i-DQ7TDdOO8H"
"{""value"":""""}","{""value"":{""root"":{""children"":[{""id"":""cl-zuFVOnzWrN"",""type"":""Line"",""style"":""Paragraph"",""children"":[{""text"":""""},{""id"":""esv-PFE3DBGeXe"",""type"":""InlineStructuredValue"",""value"":{""name"":""Andrius Kulikauskas"",""type"":""ref"",""objectId"":""Global-Document-People"",""identifier"":""i-2953483""},""children"":[{""text"":""""}]},{""text"":"" ""}],""alignment"":""Left"",""lineLevel"":0}]},""type"":""slate""}}","{""value"":""""}","{""value"":{""type"":""canvas"",""content"":"" In my browser, the scroll bar for the index is so thin that I can’t use it at all. Is there any way for you to make it bigger?  The index is basically unusable.  I have to use a down arrow to access it."",""canvasUri"":""canvases/grid-t31WvC1S1m::i--i9kqeTjXT::c-mEoOyfTdag""}}","{""value"":false}","{""value"":""""}","i--i9kqeTjXT"
"{""value"":""""}","{""value"":""""}","{""value"":""""}","{""value"":{""type"":""canvas"",""canvasUri"":""canvases/grid-t31WvC1S1m::i-08APzEtiut::c-mEoOyfTdag""}}","{""value"":false}","{""value"":""XYZ""}","i-08APzEtiut"
